candidate_id,score,status,error_message,prompt_tokens,completion_tokens,total_tokens
candidate-1,7.0,success,,92,3,95
candidate-2,8.0,success,,124,3,127
candidate-3,8.0,success,,156,3,159
candidate-4,9.0,success,,188,3,191
candidate-5,7.0,success,,220,3,223
candidate-6,8.0,success,,252,3,255
candidate-7,8.0,success,,285,3,288
candidate-8,9.0,success,,318,3,321
candidate-9,7.0,success,,351,3,354
candidate-10,7.0,success,,384,3,387
candidate-11,7.0,success,,417,3,420
candidate-12,9.0,success,,450,3,453
candidate-13,7.0,success,,483,3,486
candidate-14,8.0,success,,516,3,519
candidate-15,7.0,success,,549,3,552
candidate-16,9.0,success,,582,3,585
candidate-17,7.0,success,,616,3,619
candidate-18,8.0,success,,650,3,653
candidate-19,7.0,success,,684,3,687
candidate-20,8.0,success,,717,3,720
candidate-21,7.0,success,,750,3,753
candidate-22,8.0,success,,783,3,786
candidate-23,7.0,success,,816,3,819
candidate-24,9.0,success,,849,3,852
candidate-25,7.0,success,,882,3,885
candidate-26,8.0,success,,915,3,918
candidate-27,7.0,success,,949,3,952
candidate-28,9.0,success,,983,3,986
candidate-29,7.0,success,,1017,3,1020
candidate-30,7.0,success,,1050,3,1053
candidate-31,7.0,success,,1083,3,1086
candidate-32,9.0,success,,1116,3,1119
candidate-33,7.0,success,,1149,3,1152
candidate-34,8.0,success,,1182,3,1185
candidate-35,7.0,success,,1215,3,1218
candidate-36,9.0,success,,1248,3,1251
candidate-37,7.0,success,,1282,3,1285
candidate-38,8.0,success,,1316,3,1319
candidate-39,7.0,success,,1350,3,1353
candidate-40,8.0,success,,1383,3,1386
candidate-41,7.0,success,,1416,3,1419
candidate-42,8.0,success,,1449,3,1452
candidate-43,7.0,success,,1482,3,1485
candidate-44,9.0,success,,1515,3,1518
candidate-45,7.0,success,,1548,3,1551
candidate-46,8.0,success,,1581,3,1584
candidate-47,7.0,success,,1615,3,1618
candidate-48,9.0,success,,1649,3,1652
candidate-49,7.0,success,,1683,3,1686
candidate-50,7.0,success,,1716,3,1719
candidate-51,7.0,success,,759,3,762
candidate-52,9.0,success,,792,3,795
candidate-53,7.0,success,,825,3,828
candidate-54,8.0,success,,858,3,861
candidate-55,7.0,success,,891,3,894
candidate-56,9.0,success,,924,3,927
candidate-57,7.0,success,,958,3,961
candidate-58,8.0,success,,992,3,995
candidate-59,7.0,success,,1026,3,1029
candidate-60,8.0,success,,1059,3,1062
candidate-61,7.0,success,,1092,3,1095
candidate-62,8.0,success,,1125,3,1128
candidate-63,7.0,success,,1158,3,1161
candidate-64,9.0,success,,1191,3,1194
candidate-65,7.0,success,,1224,3,1227
candidate-66,8.0,success,,1257,3,1260
candidate-67,7.0,success,,1291,3,1294
candidate-68,9.0,success,,1325,3,1328
candidate-69,7.0,success,,1359,3,1362
candidate-70,7.0,success,,1392,3,1395
candidate-71,7.0,success,,1425,3,1428
candidate-72,9.0,success,,1458,3,1461
candidate-73,7.0,success,,1491,3,1494
candidate-74,8.0,success,,1524,3,1527
candidate-75,7.0,success,,1557,3,1560
candidate-76,9.0,success,,1590,3,1593
candidate-77,7.0,success,,1624,3,1627
candidate-78,8.0,success,,1658,3,1661
candidate-79,7.0,success,,1692,3,1695
candidate-80,8.0,success,,1725,3,1728
candidate-81,7.0,success,,1758,3,1761
candidate-82,8.0,success,,1791,3,1794
candidate-83,7.0,success,,1824,3,1827
candidate-84,9.0,success,,1857,3,1860
candidate-85,7.0,success,,1890,3,1893
candidate-86,8.0,success,,1923,3,1926
candidate-87,7.0,success,,1957,3,1960
candidate-88,9.0,success,,1991,3,1994
candidate-89,7.0,success,,2025,3,2028
candidate-90,7.0,success,,2058,3,2061
candidate-91,7.0,success,,2091,3,2094
candidate-92,9.0,success,,2124,3,2127
candidate-93,7.0,success,,2157,3,2160
candidate-94,8.0,success,,2190,3,2193
candidate-95,7.0,success,,2223,3,2226
candidate-96,9.0,success,,2256,3,2259
candidate-97,7.0,success,,2290,3,2293
candidate-98,8.0,success,,2324,3,2327
candidate-99,7.0,success,,2358,3,2361
candidate-100,8.0,success,,2392,3,2395
